Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,133.52,133.6116,126.76,129.41,129.41,143301900
2021-01-05,128.89,131.74,128.43,131.01,131.01,97664900
2021-01-06,127.72,131.0499,126.382,126.60,126.60,155088000
2021-01-07,128.36,131.63,127.86,130.92,130.92,109578000
2021-01-08,132.43,132.63,130.23,132.05,132.05,105158200
